symbol,benchmark_only,status,reason,bars,first_date,last_date,expected_last_valid_bar_date,path
AAON,False,FETCH_FAILED,cache file missing,0,,,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv/AAON.csv
AEO,False,FETCH_FAILED,cache file missing,0,,,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv/AEO.csv
ALGM,False,FETCH_FAILED,cache file missing,0,,,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv/ALGM.csv
APPF,False,FETCH_FAILED,cache file missing,0,,,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv/APPF.csv
AX,False,FETCH_FAILED,cache file missing,0,,,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv/AX.csv
BROS,False,FETCH_FAILED,cache file missing,0,,,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv/BROS.csv
CALM,False,FETCH_FAILED,cache file missing,0,,,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv/CALM.csv
CRDO,False,FETCH_FAILED,cache file missing,0,,,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv/CRDO.csv
CROX,False,FETCH_FAILED,cache file missing,0,,,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv/CROX.csv
CVLT,False,FETCH_FAILED,cache file missing,0,,,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv/CVLT.csv
ENPH,False,FETCH_FAILED,cache file missing,0,,,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv/ENPH.csv
FN,False,FETCH_FAILED,cache file missing,0,,,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv/FN.csv
FOUR,False,FETCH_FAILED,cache file missing,0,,,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv/FOUR.csv
FRPT,False,FETCH_FAILED,cache file missing,0,,,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv/FRPT.csv
HIMS,False,FETCH_FAILED,cache file missing,0,,,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv/HIMS.csv
INSP,False,FETCH_FAILED,cache file missing,0,,,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv/INSP.csv
LRN,False,FETCH_FAILED,cache file missing,0,,,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv/LRN.csv
MNDY,False,FETCH_FAILED,cache file missing,0,,,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv/MNDY.csv
NXT,False,FETCH_FAILED,cache file missing,0,,,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv/NXT.csv
