symbol,name,tier,benchmark_only,operational_eligible,product_type,security_type,source,source_rank,cap_segment,classification_status,exclusion_reason
AAON,AAON Inc,research,False,True,STK,stock,data/universe_us_mid_caps.csv,1,midcap,stock_only_seed_or_fallback,
AEO,American Eagle Outfitters,research,False,True,STK,stock,data/universe_us_mid_caps.csv,2,midcap,stock_only_seed_or_fallback,
ALGM,Allegro MicroSystems,research,False,True,STK,stock,data/universe_us_mid_caps.csv,3,midcap,stock_only_seed_or_fallback,
APPF,AppFolio,research,False,True,STK,stock,data/universe_us_mid_caps.csv,4,midcap,stock_only_seed_or_fallback,
AX,Axos Financial,research,False,True,STK,stock,data/universe_us_mid_caps.csv,5,midcap,stock_only_seed_or_fallback,
BROS,Dutch Bros,research,False,True,STK,stock,data/universe_us_mid_caps.csv,6,midcap,stock_only_seed_or_fallback,
CALM,Cal-Maine Foods,research,False,True,STK,stock,data/universe_us_mid_caps.csv,7,midcap,stock_only_seed_or_fallback,
CRDO,Credo Technology Group,research,False,True,STK,stock,data/universe_us_mid_caps.csv,8,midcap,stock_only_seed_or_fallback,
CROX,Crocs,research,False,True,STK,stock,data/universe_us_mid_caps.csv,9,midcap,stock_only_seed_or_fallback,
CVLT,Commvault Systems,research,False,True,STK,stock,data/universe_us_mid_caps.csv,10,midcap,stock_only_seed_or_fallback,
ENPH,Enphase Energy,research,False,True,STK,stock,data/universe_us_mid_caps.csv,11,midcap,stock_only_seed_or_fallback,
FN,Fabrinet,research,False,True,STK,stock,data/universe_us_mid_caps.csv,12,midcap,stock_only_seed_or_fallback,
FOUR,Shift4 Payments,research,False,True,STK,stock,data/universe_us_mid_caps.csv,13,midcap,stock_only_seed_or_fallback,
FRPT,Freshpet,research,False,True,STK,stock,data/universe_us_mid_caps.csv,14,midcap,stock_only_seed_or_fallback,
HIMS,Hims & Hers Health,research,False,True,STK,stock,data/universe_us_mid_caps.csv,15,midcap,stock_only_seed_or_fallback,
INSP,Inspire Medical Systems,research,False,True,STK,stock,data/universe_us_mid_caps.csv,16,midcap,stock_only_seed_or_fallback,
LRN,Stride,research,False,True,STK,stock,data/universe_us_mid_caps.csv,17,midcap,stock_only_seed_or_fallback,
MNDY,monday.com,research,False,True,STK,stock,data/universe_us_mid_caps.csv,18,midcap,stock_only_seed_or_fallback,
NXT,Nextracker,research,False,True,STK,stock,data/universe_us_mid_caps.csv,19,midcap,stock_only_seed_or_fallback,
OLLI,Ollie's Bargain Outlet,research,False,True,STK,stock,data/universe_us_mid_caps.csv,20,midcap,stock_only_seed_or_fallback,
SKYW,SkyWest,research,False,True,STK,stock,data/universe_us_mid_caps.csv,21,midcap,stock_only_seed_or_fallback,
TMDX,TransMedics Group,research,False,True,STK,stock,data/universe_us_mid_caps.csv,22,midcap,stock_only_seed_or_fallback,
WING,Wingstop,research,False,True,STK,stock,data/universe_us_mid_caps.csv,23,midcap,stock_only_seed_or_fallback,
ZETA,Zeta Global Holdings,research,False,True,STK,stock,data/universe_us_mid_caps.csv,24,midcap,stock_only_seed_or_fallback,
ACMR,ACM Research,research,False,True,STK,stock,data/universe_us_small_caps.csv,25,smallcap,stock_only_seed_or_fallback,
AMBA,Ambarella,research,False,True,STK,stock,data/universe_us_small_caps.csv,26,smallcap,stock_only_seed_or_fallback,
ARWR,Arrowhead Pharmaceuticals,research,False,True,STK,stock,data/universe_us_small_caps.csv,27,smallcap,stock_only_seed_or_fallback,
CARG,CarGurus,research,False,True,STK,stock,data/universe_us_small_caps.csv,28,smallcap,stock_only_seed_or_fallback,
DLO,DLocal,research,False,True,STK,stock,data/universe_us_small_caps.csv,29,smallcap,stock_only_seed_or_fallback,
FIVN,Five9,research,False,True,STK,stock,data/universe_us_small_caps.csv,30,smallcap,stock_only_seed_or_fallback,
FUBO,FuboTV,research,False,True,STK,stock,data/universe_us_small_caps.csv,31,smallcap,stock_only_seed_or_fallback,
GH,Guardant Health,research,False,True,STK,stock,data/universe_us_small_caps.csv,32,smallcap,stock_only_seed_or_fallback,
