symbol,benchmark_only,status,reason,bars,first_date,last_date,expected_last_valid_bar_date,path
AAON,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/AAON.csv
AEO,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/AEO.csv
ALGM,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/ALGM.csv
APPF,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/APPF.csv
AX,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/AX.csv
BROS,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/BROS.csv
CALM,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/CALM.csv
CRDO,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/CRDO.csv
CROX,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/CROX.csv
CVLT,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/CVLT.csv
ENPH,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/ENPH.csv
FN,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/FN.csv
FOUR,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/FOUR.csv
FRPT,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/FRPT.csv
HIMS,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/HIMS.csv
INSP,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/INSP.csv
LRN,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/LRN.csv
MNDY,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/MNDY.csv
NXT,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/NXT.csv
OLLI,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/OLLI.csv
SKYW,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/SKYW.csv
TMDX,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/TMDX.csv
WING,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/WING.csv
ZETA,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/ZETA.csv
ACMR,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/ACMR.csv
AMBA,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/AMBA.csv
ARWR,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/ARWR.csv
CARG,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/CARG.csv
DLO,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/DLO.csv
FIVN,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/FIVN.csv
FUBO,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/FUBO.csv
GH,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/GH.csv
IOVA,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/IOVA.csv
PATH,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/PATH.csv
PRVA,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/PRVA.csv
RXRX,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/RXRX.csv
SEDG,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/SEDG.csv
SG,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/SG.csv
SOUN,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/SOUN.csv
UPST,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/UPST.csv
AAPL,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/AAPL.csv
MSFT,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/MSFT.csv
NVDA,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/NVDA.csv
AMZN,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/AMZN.csv
META,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/META.csv
GOOGL,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/GOOGL.csv
GOOG,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/GOOG.csv
AVGO,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/AVGO.csv
TSLA,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/TSLA.csv
COST,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/COST.csv
NFLX,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/NFLX.csv
AMD,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/AMD.csv
CRM,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/CRM.csv
