symbol,benchmark_only,status,reason,bars,first_date,last_date,expected_last_valid_bar_date,path
AAON,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/AAON.csv
AEO,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/AEO.csv
ALGM,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/ALGM.csv
APPF,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/APPF.csv
AX,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/AX.csv
BROS,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/BROS.csv
AAPL,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/AAPL.csv
MSFT,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/MSFT.csv
SPY,True,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/SPY.csv
QQQ,True,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/QQQ.csv
