trade_id,policy,variant,symbol,signal_date,source_signal_date,entry_date,exit_date,entry_price,exit_price,holding_days,truncated,gross_return_pct,net_return_x1_pct,net_return_x2_pct,net_return_x3_pct,cost_bps_x1,cost_bps_x2,cost_bps_x3,entry_model,exit_model
DSS-CO-001-ALL_EVENTS-00001,ALL_EVENTS,CONTRACTION_ONLY,ABNB,2024-04-18,2024-04-18,2024-04-19,2024-05-03,159.78,159.71,10,False,-0.04381023907873427,-0.14381023907873428,-0.24381023907873428,-0.34381023907873426,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-ALL_EVENTS-00002,ALL_EVENTS,CONTRACTION_ONLY,COP,2024-04-18,2024-04-18,2024-04-19,2024-05-03,119.52,114.0,10,False,-4.618473895582332,-4.718473895582331,-4.818473895582331,-4.9184738955823315,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-ALL_EVENTS-00003,ALL_EVENTS,CONTRACTION_ONLY,CVX,2024-04-18,2024-04-18,2024-04-19,2024-05-03,144.29,145.66,10,False,0.9494767482153943,0.8494767482153942,0.7494767482153943,0.6494767482153943,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-ALL_EVENTS-00004,ALL_EVENTS,CONTRACTION_ONLY,EOG,2024-04-18,2024-04-18,2024-04-19,2024-05-03,123.46,121.8,10,False,-1.3445650413089205,-1.4445650413089206,-1.5445650413089205,-1.6445650413089203,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-ALL_EVENTS-00005,ALL_EVENTS,CONTRACTION_ONLY,GOOG,2024-04-18,2024-04-18,2024-04-19,2024-05-03,156.37,167.51,10,False,7.124128669182062,7.024128669182062,6.924128669182061,6.824128669182061,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-ALL_EVENTS-00006,ALL_EVENTS,CONTRACTION_ONLY,GOOGL,2024-04-18,2024-04-18,2024-04-19,2024-05-03,154.84,165.77,10,False,7.058899509170757,6.958899509170758,6.858899509170757,6.758899509170757,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-ALL_EVENTS-00007,ALL_EVENTS,CONTRACTION_ONLY,NEE,2024-04-18,2024-04-18,2024-04-19,2024-05-03,60.22,65.77,10,False,9.216207240119555,9.116207240119556,9.016207240119556,8.916207240119556,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-ALL_EVENTS-00008,ALL_EVENTS,CONTRACTION_ONLY,XOM,2024-04-18,2024-04-18,2024-04-19,2024-05-03,110.69,107.75,10,False,-2.656066492004694,-2.756066492004694,-2.856066492004694,-2.9560664920046937,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-ALL_EVENTS-00009,ALL_EVENTS,CONTRACTION_ONLY,COP,2024-04-19,2024-04-19,2024-04-22,2024-05-06,119.95,115.23,10,False,-3.934972905377243,-4.034972905377243,-4.134972905377243,-4.234972905377243,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-ALL_EVENTS-00010,ALL_EVENTS,CONTRACTION_ONLY,CVX,2024-04-19,2024-04-19,2024-04-22,2024-05-06,145.38,147.52,10,False,1.4720044022561662,1.3720044022561662,1.2720044022561663,1.1720044022561664,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-ALL_EVENTS-00011,ALL_EVENTS,CONTRACTION_ONLY,EOG,2024-04-19,2024-04-19,2024-04-22,2024-05-06,124.49,122.23,10,False,-1.815406859988744,-1.9154068599887442,-2.0154068599887442,-2.115406859988744,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-ALL_EVENTS-00012,ALL_EVENTS,CONTRACTION_ONLY,NEE,2024-04-19,2024-04-19,2024-04-22,2024-05-06,60.56,66.81,10,False,10.32034346103039,10.22034346103039,10.12034346103039,10.02034346103039,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-ALL_EVENTS-00013,ALL_EVENTS,CONTRACTION_ONLY,PYPL,2024-04-19,2024-04-19,2024-04-22,2024-05-06,62.5,65.05,10,False,4.079999999999995,3.9799999999999947,3.8799999999999946,3.7799999999999945,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-ALL_EVENTS-00014,ALL_EVENTS,CONTRACTION_ONLY,XOM,2024-04-19,2024-04-19,2024-04-22,2024-05-06,110.78,108.45,10,False,-2.103267737858816,-2.203267737858816,-2.303267737858816,-2.403267737858816,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-ALL_EVENTS-00015,ALL_EVENTS,CONTRACTION_ONLY,AX,2024-04-22,2024-04-22,2024-04-23,2024-05-07,51.52,59.21,10,False,14.926242236024834,14.826242236024834,14.726242236024834,14.626242236024833,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-ALL_EVENTS-00016,ALL_EVENTS,CONTRACTION_ONLY,COP,2024-04-22,2024-04-22,2024-04-23,2024-05-07,119.97,115.23,10,False,-3.9509877469367294,-4.0509877469367295,-4.15098774693673,-4.25098774693673,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-ALL_EVENTS-00017,ALL_EVENTS,CONTRACTION_ONLY,CVX,2024-04-22,2024-04-22,2024-04-23,2024-05-07,146.62,147.85,10,False,0.8389032874096314,0.7389032874096314,0.6389032874096314,0.5389032874096313,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-ALL_EVENTS-00018,ALL_EVENTS,CONTRACTION_ONLY,EOG,2024-04-22,2024-04-22,2024-04-23,2024-05-07,125.54,122.02,10,False,-2.8038872072646215,-2.9038872072646216,-3.0038872072646217,-3.1038872072646213,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-ALL_EVENTS-00019,ALL_EVENTS,CONTRACTION_ONLY,GOOG,2024-04-22,2024-04-22,2024-04-23,2024-05-07,157.2,171.47,10,False,9.077608142493654,8.977608142493654,8.877608142493653,8.777608142493653,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-ALL_EVENTS-00020,ALL_EVENTS,CONTRACTION_ONLY,GOOGL,2024-04-22,2024-04-22,2024-04-23,2024-05-07,155.52,169.74,10,False,9.143518518518512,9.043518518518512,8.943518518518513,8.843518518518511,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-ALL_EVENTS-00021,ALL_EVENTS,CONTRACTION_ONLY,MRK,2024-04-22,2024-04-22,2024-04-23,2024-05-07,119.19,121.32,10,False,1.7870626730430272,1.6870626730430272,1.587062673043027,1.4870626730430274,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-ALL_EVENTS-00022,ALL_EVENTS,CONTRACTION_ONLY,NEE,2024-04-22,2024-04-22,2024-04-23,2024-05-07,61.17,67.46,10,False,10.28281837502043,10.18281837502043,10.08281837502043,9.98281837502043,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-ALL_EVENTS-00023,ALL_EVENTS,CONTRACTION_ONLY,PDD,2024-04-22,2024-04-22,2024-04-23,2024-05-07,125.38,137.65,10,False,9.78624980060616,9.686249800606161,9.586249800606161,9.486249800606162,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-ALL_EVENTS-00024,ALL_EVENTS,CONTRACTION_ONLY,PEP,2024-04-22,2024-04-22,2024-04-23,2024-05-07,161.03,163.93,10,False,1.8009066633546622,1.7009066633546621,1.600906663354662,1.5009066633546624,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-ALL_EVENTS-00025,ALL_EVENTS,CONTRACTION_ONLY,PYPL,2024-04-22,2024-04-22,2024-04-23,2024-05-07,62.84,65.35,10,False,3.994271164863128,3.894271164863128,3.7942711648631278,3.6942711648631277,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-ALL_EVENTS-00026,ALL_EVENTS,CONTRACTION_ONLY,XOM,2024-04-22,2024-04-22,2024-04-23,2024-05-07,111.47,107.91,10,False,-3.1936843993899733,-3.2936843993899734,-3.3936843993899735,-3.4936843993899735,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-ALL_EVENTS-00027,ALL_EVENTS,CONTRACTION_ONLY,AX,2024-04-23,2024-04-23,2024-04-24,2024-05-08,51.22,59.93,10,False,17.00507614213198,16.905076142131982,16.80507614213198,16.70507614213198,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-ALL_EVENTS-00028,ALL_EVENTS,CONTRACTION_ONLY,COP,2024-04-23,2024-04-23,2024-04-24,2024-05-08,120.66,114.78,10,False,-4.873197414221774,-4.973197414221775,-5.0731974142217755,-5.173197414221775,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-ALL_EVENTS-00029,ALL_EVENTS,CONTRACTION_ONLY,CVX,2024-04-23,2024-04-23,2024-04-24,2024-05-08,147.14,147.74,10,False,0.40777490825065765,0.3077749082506577,0.20777490825065764,0.10777490825065765,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-ALL_EVENTS-00030,ALL_EVENTS,CONTRACTION_ONLY,EOG,2024-04-23,2024-04-23,2024-04-24,2024-05-08,125.77,121.62,10,False,-3.2996740081100318,-3.399674008110032,-3.499674008110032,-3.599674008110032,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-ALL_EVENTS-00031,ALL_EVENTS,CONTRACTION_ONLY,FDX,2024-04-23,2024-04-23,2024-04-24,2024-05-08,207.95,198.34,10,False,-4.621303197884097,-4.721303197884097,-4.821303197884097,-4.921303197884097,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-ALL_EVENTS-00032,ALL_EVENTS,CONTRACTION_ONLY,GOOG,2024-04-23,2024-04-23,2024-04-24,2024-05-08,157.73,169.66,10,False,7.5635579788245755,7.463557978824575,7.363557978824575,7.263557978824576,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-ALL_EVENTS-00033,ALL_EVENTS,CONTRACTION_ONLY,GOOGL,2024-04-23,2024-04-23,2024-04-24,2024-05-08,156.07,167.89,10,False,7.573524700454914,7.473524700454915,7.373524700454914,7.273524700454914,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-ALL_EVENTS-00034,ALL_EVENTS,CONTRACTION_ONLY,MRK,2024-04-23,2024-04-23,2024-04-24,2024-05-08,118.0,120.54,10,False,2.152542372881361,2.0525423728813608,1.9525423728813607,1.852542372881361,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-ALL_EVENTS-00035,ALL_EVENTS,CONTRACTION_ONLY,PDD,2024-04-23,2024-04-23,2024-04-24,2024-05-08,128.34,139.16,10,False,8.430730871123583,8.330730871123581,8.230730871123582,8.130730871123582,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-ALL_EVENTS-00036,ALL_EVENTS,CONTRACTION_ONLY,PYPL,2024-04-23,2024-04-23,2024-04-24,2024-05-08,63.57,63.26,10,False,-0.4876514078968053,-0.5876514078968053,-0.6876514078968052,-0.7876514078968052,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
