trade_id,policy,variant,symbol,signal_date,source_signal_date,entry_date,exit_date,entry_price,exit_price,holding_days,truncated,gross_return_pct,net_return_x1_pct,net_return_x2_pct,net_return_x3_pct,cost_bps_x1,cost_bps_x2,cost_bps_x3,entry_model,exit_model
DSS-CO-001-MAX_2_NEW_TRADES_PER_DAY_SIM-00001,MAX_2_NEW_TRADES_PER_DAY_SIM,CONTRACTION_ONLY,CVX,2024-04-18,2024-04-18,2024-04-19,2024-05-03,144.29,145.66,10,False,0.9494767482153943,0.8494767482153942,0.7494767482153943,0.6494767482153943,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-MAX_2_NEW_TRADES_PER_DAY_SIM-00002,MAX_2_NEW_TRADES_PER_DAY_SIM,CONTRACTION_ONLY,XOM,2024-04-18,2024-04-18,2024-04-19,2024-05-03,110.69,107.75,10,False,-2.656066492004694,-2.756066492004694,-2.856066492004694,-2.9560664920046937,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-MAX_2_NEW_TRADES_PER_DAY_SIM-00003,MAX_2_NEW_TRADES_PER_DAY_SIM,CONTRACTION_ONLY,COP,2024-04-19,2024-04-19,2024-04-22,2024-05-06,119.95,115.23,10,False,-3.934972905377243,-4.034972905377243,-4.134972905377243,-4.234972905377243,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-MAX_2_NEW_TRADES_PER_DAY_SIM-00004,MAX_2_NEW_TRADES_PER_DAY_SIM,CONTRACTION_ONLY,EOG,2024-04-19,2024-04-19,2024-04-22,2024-05-06,124.49,122.23,10,False,-1.815406859988744,-1.9154068599887442,-2.0154068599887442,-2.115406859988744,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-MAX_2_NEW_TRADES_PER_DAY_SIM-00005,MAX_2_NEW_TRADES_PER_DAY_SIM,CONTRACTION_ONLY,MRK,2024-04-22,2024-04-22,2024-04-23,2024-05-07,119.19,121.32,10,False,1.7870626730430272,1.6870626730430272,1.587062673043027,1.4870626730430274,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-MAX_2_NEW_TRADES_PER_DAY_SIM-00006,MAX_2_NEW_TRADES_PER_DAY_SIM,CONTRACTION_ONLY,PEP,2024-04-22,2024-04-22,2024-04-23,2024-05-07,161.03,163.93,10,False,1.8009066633546622,1.7009066633546621,1.600906663354662,1.5009066633546624,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-MAX_2_NEW_TRADES_PER_DAY_SIM-00007,MAX_2_NEW_TRADES_PER_DAY_SIM,CONTRACTION_ONLY,FDX,2024-04-23,2024-04-23,2024-04-24,2024-05-08,207.95,198.34,10,False,-4.621303197884097,-4.721303197884097,-4.821303197884097,-4.921303197884097,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-MAX_2_NEW_TRADES_PER_DAY_SIM-00008,MAX_2_NEW_TRADES_PER_DAY_SIM,CONTRACTION_ONLY,GOOG,2024-04-23,2024-04-23,2024-04-24,2024-05-08,157.73,169.66,10,False,7.5635579788245755,7.463557978824575,7.363557978824575,7.263557978824576,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-MAX_2_NEW_TRADES_PER_DAY_SIM-00009,MAX_2_NEW_TRADES_PER_DAY_SIM,CONTRACTION_ONLY,GOOGL,2024-04-24,2024-04-24,2024-04-25,2024-05-09,150.0,168.47,10,False,12.313333333333333,12.213333333333331,12.113333333333332,12.013333333333332,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-MAX_2_NEW_TRADES_PER_DAY_SIM-00010,MAX_2_NEW_TRADES_PER_DAY_SIM,CONTRACTION_ONLY,LRN,2024-04-24,2024-04-24,2024-04-25,2024-05-09,63.2,71.49,10,False,13.11708860759493,13.017088607594928,12.917088607594929,12.817088607594929,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
