trade_id,policy,variant,symbol,signal_date,source_signal_date,entry_date,exit_date,entry_price,exit_price,holding_days,truncated,gross_return_pct,net_return_x1_pct,net_return_x2_pct,net_return_x3_pct,cost_bps_x1,cost_bps_x2,cost_bps_x3,entry_model,exit_model
DSS-CO-001-ONE_ACTIVE_PER_SYMBOL-00001,ONE_ACTIVE_PER_SYMBOL,CONTRACTION_ONLY,ABNB,2024-04-18,2024-04-18,2024-04-19,2024-05-03,159.78,159.71,10,False,-0.04381023907873427,-0.14381023907873428,-0.24381023907873428,-0.34381023907873426,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-ONE_ACTIVE_PER_SYMBOL-00002,ONE_ACTIVE_PER_SYMBOL,CONTRACTION_ONLY,COP,2024-04-18,2024-04-18,2024-04-19,2024-05-03,119.52,114.0,10,False,-4.618473895582332,-4.718473895582331,-4.818473895582331,-4.9184738955823315,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-ONE_ACTIVE_PER_SYMBOL-00003,ONE_ACTIVE_PER_SYMBOL,CONTRACTION_ONLY,CVX,2024-04-18,2024-04-18,2024-04-19,2024-05-03,144.29,145.66,10,False,0.9494767482153943,0.8494767482153942,0.7494767482153943,0.6494767482153943,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-ONE_ACTIVE_PER_SYMBOL-00004,ONE_ACTIVE_PER_SYMBOL,CONTRACTION_ONLY,EOG,2024-04-18,2024-04-18,2024-04-19,2024-05-03,123.46,121.8,10,False,-1.3445650413089205,-1.4445650413089206,-1.5445650413089205,-1.6445650413089203,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-ONE_ACTIVE_PER_SYMBOL-00005,ONE_ACTIVE_PER_SYMBOL,CONTRACTION_ONLY,GOOG,2024-04-18,2024-04-18,2024-04-19,2024-05-03,156.37,167.51,10,False,7.124128669182062,7.024128669182062,6.924128669182061,6.824128669182061,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-ONE_ACTIVE_PER_SYMBOL-00006,ONE_ACTIVE_PER_SYMBOL,CONTRACTION_ONLY,GOOGL,2024-04-18,2024-04-18,2024-04-19,2024-05-03,154.84,165.77,10,False,7.058899509170757,6.958899509170758,6.858899509170757,6.758899509170757,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-ONE_ACTIVE_PER_SYMBOL-00007,ONE_ACTIVE_PER_SYMBOL,CONTRACTION_ONLY,NEE,2024-04-18,2024-04-18,2024-04-19,2024-05-03,60.22,65.77,10,False,9.216207240119555,9.116207240119556,9.016207240119556,8.916207240119556,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-ONE_ACTIVE_PER_SYMBOL-00008,ONE_ACTIVE_PER_SYMBOL,CONTRACTION_ONLY,XOM,2024-04-18,2024-04-18,2024-04-19,2024-05-03,110.69,107.75,10,False,-2.656066492004694,-2.756066492004694,-2.856066492004694,-2.9560664920046937,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-ONE_ACTIVE_PER_SYMBOL-00009,ONE_ACTIVE_PER_SYMBOL,CONTRACTION_ONLY,PYPL,2024-04-19,2024-04-19,2024-04-22,2024-05-06,62.5,65.05,10,False,4.079999999999995,3.9799999999999947,3.8799999999999946,3.7799999999999945,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-ONE_ACTIVE_PER_SYMBOL-00010,ONE_ACTIVE_PER_SYMBOL,CONTRACTION_ONLY,AX,2024-04-22,2024-04-22,2024-04-23,2024-05-07,51.52,59.21,10,False,14.926242236024834,14.826242236024834,14.726242236024834,14.626242236024833,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-ONE_ACTIVE_PER_SYMBOL-00011,ONE_ACTIVE_PER_SYMBOL,CONTRACTION_ONLY,MRK,2024-04-22,2024-04-22,2024-04-23,2024-05-07,119.19,121.32,10,False,1.7870626730430272,1.6870626730430272,1.587062673043027,1.4870626730430274,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-ONE_ACTIVE_PER_SYMBOL-00012,ONE_ACTIVE_PER_SYMBOL,CONTRACTION_ONLY,PDD,2024-04-22,2024-04-22,2024-04-23,2024-05-07,125.38,137.65,10,False,9.78624980060616,9.686249800606161,9.586249800606161,9.486249800606162,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-ONE_ACTIVE_PER_SYMBOL-00013,ONE_ACTIVE_PER_SYMBOL,CONTRACTION_ONLY,PEP,2024-04-22,2024-04-22,2024-04-23,2024-05-07,161.03,163.93,10,False,1.8009066633546622,1.7009066633546621,1.600906663354662,1.5009066633546624,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-ONE_ACTIVE_PER_SYMBOL-00014,ONE_ACTIVE_PER_SYMBOL,CONTRACTION_ONLY,FDX,2024-04-23,2024-04-23,2024-04-24,2024-05-08,207.95,198.34,10,False,-4.621303197884097,-4.721303197884097,-4.821303197884097,-4.921303197884097,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-ONE_ACTIVE_PER_SYMBOL-00015,ONE_ACTIVE_PER_SYMBOL,CONTRACTION_ONLY,LRN,2024-04-24,2024-04-24,2024-04-25,2024-05-09,63.2,71.49,10,False,13.11708860759493,13.017088607594928,12.917088607594929,12.817088607594929,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-ONE_ACTIVE_PER_SYMBOL-00016,ONE_ACTIVE_PER_SYMBOL,CONTRACTION_ONLY,PANW,2024-04-24,2024-04-24,2024-04-25,2024-05-09,142.79,147.84,10,False,3.5366622312486884,3.4366622312486883,3.336662231248688,3.236662231248688,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-ONE_ACTIVE_PER_SYMBOL-00017,ONE_ACTIVE_PER_SYMBOL,CONTRACTION_ONLY,TGT,2024-04-25,2024-04-25,2024-04-26,2024-05-10,151.76,149.9,10,False,-1.2256193990511255,-1.3256193990511256,-1.4256193990511254,-1.5256193990511253,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-ONE_ACTIVE_PER_SYMBOL-00018,ONE_ACTIVE_PER_SYMBOL,CONTRACTION_ONLY,ZETA,2024-04-25,2024-04-25,2024-04-26,2024-05-10,12.45,15.8,10,False,26.907630522088375,26.807630522088377,26.707630522088376,26.607630522088378,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
