episode_id,episode_type,policy,offset,symbol,first_signal_date,source_first_signal_date,offset_signal_date,entry_date,exit_date,entry_price,exit_price,holding_days,truncated,gross_return_pct,net_return_x1_pct,net_return_x2_pct,net_return_x3_pct
EPISODE_GAP_5-ABNB-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,ABNB,2024-04-18,2024-04-18,2024-04-18,2024-04-19,2024-05-03,159.78,159.71,10,False,-0.04381023907873427,-0.14381023907873428,-0.24381023907873428,-0.34381023907873426
EPISODE_GAP_5-COP-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,COP,2024-04-18,2024-04-18,2024-04-18,2024-04-19,2024-05-03,119.52,114.0,10,False,-4.618473895582332,-4.718473895582331,-4.818473895582331,-4.9184738955823315
EPISODE_GAP_5-CVX-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,CVX,2024-04-18,2024-04-18,2024-04-18,2024-04-19,2024-05-03,144.29,145.66,10,False,0.9494767482153943,0.8494767482153942,0.7494767482153943,0.6494767482153943
EPISODE_GAP_5-EOG-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,EOG,2024-04-18,2024-04-18,2024-04-18,2024-04-19,2024-05-03,123.46,121.8,10,False,-1.3445650413089205,-1.4445650413089206,-1.5445650413089205,-1.6445650413089203
EPISODE_GAP_5-GOOG-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,GOOG,2024-04-18,2024-04-18,2024-04-18,2024-04-19,2024-05-03,156.37,167.51,10,False,7.124128669182062,7.024128669182062,6.924128669182061,6.824128669182061
EPISODE_GAP_5-GOOGL-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,GOOGL,2024-04-18,2024-04-18,2024-04-18,2024-04-19,2024-05-03,154.84,165.77,10,False,7.058899509170757,6.958899509170758,6.858899509170757,6.758899509170757
EPISODE_GAP_5-NEE-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,NEE,2024-04-18,2024-04-18,2024-04-18,2024-04-19,2024-05-03,60.22,65.77,10,False,9.216207240119555,9.116207240119556,9.016207240119556,8.916207240119556
EPISODE_GAP_5-XOM-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,XOM,2024-04-18,2024-04-18,2024-04-18,2024-04-19,2024-05-03,110.69,107.75,10,False,-2.656066492004694,-2.756066492004694,-2.856066492004694,-2.9560664920046937
EPISODE_GAP_5-PYPL-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,PYPL,2024-04-19,2024-04-19,2024-04-19,2024-04-22,2024-05-06,62.5,65.05,10,False,4.079999999999995,3.9799999999999947,3.8799999999999946,3.7799999999999945
EPISODE_GAP_5-AX-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,AX,2024-04-22,2024-04-22,2024-04-22,2024-04-23,2024-05-07,51.52,59.21,10,False,14.926242236024834,14.826242236024834,14.726242236024834,14.626242236024833
EPISODE_GAP_5-MRK-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,MRK,2024-04-22,2024-04-22,2024-04-22,2024-04-23,2024-05-07,119.19,121.32,10,False,1.7870626730430272,1.6870626730430272,1.587062673043027,1.4870626730430274
EPISODE_GAP_5-PDD-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,PDD,2024-04-22,2024-04-22,2024-04-22,2024-04-23,2024-05-07,125.38,137.65,10,False,9.78624980060616,9.686249800606161,9.586249800606161,9.486249800606162
EPISODE_GAP_5-PEP-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,PEP,2024-04-22,2024-04-22,2024-04-22,2024-04-23,2024-05-07,161.03,163.93,10,False,1.8009066633546622,1.7009066633546621,1.600906663354662,1.5009066633546624
EPISODE_GAP_5-FDX-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,FDX,2024-04-23,2024-04-23,2024-04-23,2024-04-24,2024-05-08,207.95,198.34,10,False,-4.621303197884097,-4.721303197884097,-4.821303197884097,-4.921303197884097
EPISODE_GAP_5-LRN-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,LRN,2024-04-24,2024-04-24,2024-04-24,2024-04-25,2024-05-09,63.2,71.49,10,False,13.11708860759493,13.017088607594928,12.917088607594929,12.817088607594929
EPISODE_GAP_5-PANW-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,PANW,2024-04-24,2024-04-24,2024-04-24,2024-04-25,2024-05-09,142.79,147.84,10,False,3.5366622312486884,3.4366622312486883,3.336662231248688,3.236662231248688
EPISODE_GAP_5-TGT-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,TGT,2024-04-25,2024-04-25,2024-04-25,2024-04-26,2024-05-10,151.76,149.9,10,False,-1.2256193990511255,-1.3256193990511256,-1.4256193990511254,-1.5256193990511253
EPISODE_GAP_5-ZETA-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,ZETA,2024-04-25,2024-04-25,2024-04-25,2024-04-26,2024-05-10,12.45,15.8,10,False,26.907630522088375,26.807630522088377,26.707630522088376,26.607630522088378
EPISODE_GAP_5-APPF-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,APPF,2024-04-26,2024-04-26,2024-04-26,2024-04-29,2024-05-13,242.75,249.41,10,False,2.7435633367662193,2.6435633367662192,2.543563336766219,2.4435633367662195
EPISODE_GAP_5-AEO-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,AEO,2024-04-30,2024-04-30,2024-04-30,2024-05-01,2024-05-15,22.62,22.69,10,False,0.30946065428825165,0.20946065428825164,0.10946065428825164,0.00946065428825164
EPISODE_GAP_5-CAVA-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,CAVA,2024-04-30,2024-04-30,2024-04-30,2024-05-01,2024-05-15,71.12,78.63,10,False,10.559617547806521,10.459617547806522,10.359617547806522,10.25961754780652
EPISODE_GAP_5-LLY-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,LLY,2024-04-30,2024-04-30,2024-04-30,2024-05-01,2024-05-15,762.78,776.18,10,False,1.7567319541676563,1.6567319541676562,1.5567319541676563,1.4567319541676564
EPISODE_GAP_5-ADP-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,ADP,2024-05-01,2024-05-01,2024-05-01,2024-05-02,2024-05-16,233.16,236.99,10,False,1.6426488248413085,1.5426488248413084,1.4426488248413085,1.3426488248413087
EPISODE_GAP_5-SCHW-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,SCHW,2024-05-01,2024-05-01,2024-05-01,2024-05-02,2024-05-16,73.16,76.0,10,False,3.88190267905959,3.78190267905959,3.68190267905959,3.58190267905959
EPISODE_GAP_5-OLLI-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,OLLI,2024-05-03,2024-05-03,2024-05-03,2024-05-06,2024-05-20,78.51,73.17,10,False,-6.801681314482233,-6.901681314482233,-7.001681314482234,-7.101681314482233
EPISODE_GAP_5-ABNB-00002,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,ABNB,2024-05-06,2024-05-06,2024-05-06,2024-05-07,2024-05-21,161.71,144.1,10,False,-10.889864572382669,-10.989864572382668,-11.089864572382668,-11.189864572382668
EPISODE_GAP_5-FRPT-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,FRPT,2024-05-06,2024-05-06,2024-05-06,2024-05-07,2024-05-21,122.78,126.67,10,False,3.1682684476299183,3.0682684476299182,2.968268447629918,2.8682684476299185
EPISODE_GAP_5-GS-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,GS,2024-05-06,2024-05-06,2024-05-06,2024-05-07,2024-05-21,424.85,448.94,10,False,5.670236554077901,5.570236554077901,5.470236554077901,5.3702365540779
