episode_type,symbol,episode_id,first_signal_date,last_signal_date,first_signal_idx,last_signal_idx,episode_length_days,number_of_raw_signals,min_ATR14_pct_rank,max_ATR14_pct_rank,regime_snapshot,trend_snapshot,sample
EPISODE_CONTIGUOUS,AAON,EPISODE_CONTIGUOUS-AAON-00001,2024-07-15,2024-07-17,258,260,3,3,0.026749566223250427,0.02943199449749668,True,True,IS
EPISODE_CONTIGUOUS,AAON,EPISODE_CONTIGUOUS-AAON-00002,2024-08-23,2024-09-04,287,294,13,8,0.021232613540305853,0.02766667741831438,True,True,IS
EPISODE_CONTIGUOUS,AAON,EPISODE_CONTIGUOUS-AAON-00003,2024-09-09,2024-09-09,297,297,1,1,0.028759095249069905,0.028759095249069905,True,True,IS
EPISODE_CONTIGUOUS,AAON,EPISODE_CONTIGUOUS-AAON-00004,2024-09-11,2024-09-19,299,305,9,7,0.02824076844814174,0.03065253532834581,True,True,IS
EPISODE_CONTIGUOUS,AAON,EPISODE_CONTIGUOUS-AAON-00005,2024-09-24,2024-10-29,308,333,36,26,0.020905124408747245,0.029368664461832162,True,True,IS
EPISODE_CONTIGUOUS,AAON,EPISODE_CONTIGUOUS-AAON-00006,2024-12-06,2024-12-09,360,361,4,2,0.0299941331768847,0.03007435180477884,True,True,IS
EPISODE_CONTIGUOUS,AAON,EPISODE_CONTIGUOUS-AAON-00007,2025-01-14,2025-01-16,384,386,3,3,0.027883943136797925,0.029028403244188206,True,True,OOS
EPISODE_CONTIGUOUS,AAON,EPISODE_CONTIGUOUS-AAON-00008,2025-05-12,2025-05-12,465,465,1,1,0.039848115775899105,0.039848115775899105,True,True,OOS
EPISODE_CONTIGUOUS,AAON,EPISODE_CONTIGUOUS-AAON-00009,2025-05-14,2025-05-14,467,467,1,1,0.03857779946592926,0.03857779946592926,True,True,OOS
EPISODE_CONTIGUOUS,AAON,EPISODE_CONTIGUOUS-AAON-00010,2025-05-16,2025-05-19,469,470,4,2,0.03565380997177797,0.036645422943221304,True,True,OOS
