policy,quarter,trades,net_x2_sum_pct,net_x2_expectancy_pct
ALL_EVENTS,2024Q2,280,619.4680787141818,2.2123859954077925
ALL_EVENTS,2024Q3,576,-1089.8268084788099,-1.8920604313868228
ALL_EVENTS,2024Q4,851,1041.077124414258,1.2233573729897274
ALL_EVENTS,2025Q1,240,232.09608567510568,0.9670670236462737
ALL_EVENTS,2025Q2,549,1086.8764231146024,1.9797384756185836
ALL_EVENTS,2025Q3,1277,1967.755498252018,1.540920515467516
ALL_EVENTS,2025Q4,422,817.0825944847508,1.936214678873817
ALL_EVENTS,2026Q1,320,-237.70352384323454,-0.7428235120101079
ALL_EVENTS,2026Q2,314,240.10371298217686,0.7646615063126652
ALL_EVENTS,2026Q3,47,422.24587191109464,8.983954721512651
MAX_2_NEW_TRADES_PER_DAY_SIM,2024Q2,51,20.505293700152485,0.40206458235593107
MAX_2_NEW_TRADES_PER_DAY_SIM,2024Q3,70,-105.0393088423081,-1.5005615548901157
MAX_2_NEW_TRADES_PER_DAY_SIM,2024Q4,105,144.6900033443715,1.3780000318511572
MAX_2_NEW_TRADES_PER_DAY_SIM,2025Q1,42,-103.36205857699714,-2.4610013946904084
MAX_2_NEW_TRADES_PER_DAY_SIM,2025Q2,59,80.54749820868383,1.3652118340454886
MAX_2_NEW_TRADES_PER_DAY_SIM,2025Q3,119,219.16002714596803,1.841680900386286
MAX_2_NEW_TRADES_PER_DAY_SIM,2025Q4,57,69.12909631601416,1.2127911634388449
MAX_2_NEW_TRADES_PER_DAY_SIM,2026Q1,46,100.84977283796542,2.1923863660427263
MAX_2_NEW_TRADES_PER_DAY_SIM,2026Q2,53,97.96121893402618,1.8483248855476637
MAX_2_NEW_TRADES_PER_DAY_SIM,2026Q3,6,29.404201871211477,4.9007003118685795
ONE_ACTIVE_PER_SYMBOL,2024Q2,54,38.36342679977137,0.7104338296253957
ONE_ACTIVE_PER_SYMBOL,2024Q3,83,-164.08447367648827,-1.9769213695962442
ONE_ACTIVE_PER_SYMBOL,2024Q4,118,160.05397409312323,1.3563896109586715
ONE_ACTIVE_PER_SYMBOL,2025Q1,43,-56.86251920830949,-1.3223841676351045
ONE_ACTIVE_PER_SYMBOL,2025Q2,73,222.85881407478573,3.0528604667778865
ONE_ACTIVE_PER_SYMBOL,2025Q3,141,295.03425278711916,2.0924415091285047
ONE_ACTIVE_PER_SYMBOL,2025Q4,61,42.5767321605625,0.6979792157469262
ONE_ACTIVE_PER_SYMBOL,2026Q1,51,121.86930905283282,2.3895942951535845
ONE_ACTIVE_PER_SYMBOL,2026Q2,55,65.5657613538095,1.1921047518874455
ONE_ACTIVE_PER_SYMBOL,2026Q3,6,37.95996990764207,6.326661651273678
