trade_id,policy,variant,symbol,signal_date,source_signal_date,entry_date,exit_date,entry_price,exit_price,holding_days,truncated,gross_return_pct,net_return_x1_pct,net_return_x2_pct,net_return_x3_pct,cost_bps_x1,cost_bps_x2,cost_bps_x3,entry_model,exit_model
DSS-CO-001-MAX_2_NEW_TRADES_PER_DAY_SIM-00001,MAX_2_NEW_TRADES_PER_DAY_SIM,CONTRACTION_ONLY,GOOG,2024-04-18,2024-04-18,2024-04-19,2024-05-03,156.37,167.51,10,False,7.124128669182062,7.024128669182062,6.924128669182061,6.824128669182061,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-MAX_2_NEW_TRADES_PER_DAY_SIM-00002,MAX_2_NEW_TRADES_PER_DAY_SIM,CONTRACTION_ONLY,GOOGL,2024-04-18,2024-04-18,2024-04-19,2024-05-03,154.84,165.77,10,False,7.058899509170757,6.958899509170758,6.858899509170757,6.758899509170757,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-MAX_2_NEW_TRADES_PER_DAY_SIM-00003,MAX_2_NEW_TRADES_PER_DAY_SIM,CONTRACTION_ONLY,AX,2024-04-22,2024-04-22,2024-04-23,2024-05-07,51.52,59.21,10,False,14.926242236024834,14.826242236024834,14.726242236024834,14.626242236024833,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-MAX_2_NEW_TRADES_PER_DAY_SIM-00004,MAX_2_NEW_TRADES_PER_DAY_SIM,CONTRACTION_ONLY,LRN,2024-04-24,2024-04-24,2024-04-25,2024-05-09,63.2,71.49,10,False,13.11708860759493,13.017088607594928,12.917088607594929,12.817088607594929,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-MAX_2_NEW_TRADES_PER_DAY_SIM-00005,MAX_2_NEW_TRADES_PER_DAY_SIM,CONTRACTION_ONLY,ZETA,2024-04-25,2024-04-25,2024-04-26,2024-05-10,12.45,15.8,10,False,26.907630522088375,26.807630522088377,26.707630522088376,26.607630522088378,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-MAX_2_NEW_TRADES_PER_DAY_SIM-00006,MAX_2_NEW_TRADES_PER_DAY_SIM,CONTRACTION_ONLY,APPF,2024-04-26,2024-04-26,2024-04-29,2024-05-13,242.75,249.41,10,False,2.7435633367662193,2.6435633367662192,2.543563336766219,2.4435633367662195,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-MAX_2_NEW_TRADES_PER_DAY_SIM-00007,MAX_2_NEW_TRADES_PER_DAY_SIM,CONTRACTION_ONLY,AEO,2024-04-30,2024-04-30,2024-05-01,2024-05-15,22.62,22.69,10,False,0.30946065428825165,0.20946065428825164,0.10946065428825164,0.00946065428825164,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-MAX_2_NEW_TRADES_PER_DAY_SIM-00008,MAX_2_NEW_TRADES_PER_DAY_SIM,CONTRACTION_ONLY,OLLI,2024-05-03,2024-05-03,2024-05-06,2024-05-20,78.51,73.17,10,False,-6.801681314482233,-6.901681314482233,-7.001681314482234,-7.101681314482233,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-MAX_2_NEW_TRADES_PER_DAY_SIM-00009,MAX_2_NEW_TRADES_PER_DAY_SIM,CONTRACTION_ONLY,FRPT,2024-05-06,2024-05-06,2024-05-07,2024-05-21,122.78,126.67,10,False,3.1682684476299183,3.0682684476299182,2.968268447629918,2.8682684476299185,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-MAX_2_NEW_TRADES_PER_DAY_SIM-00010,MAX_2_NEW_TRADES_PER_DAY_SIM,CONTRACTION_ONLY,INSP,2024-05-06,2024-05-06,2024-05-07,2024-05-21,251.84,152.37,10,False,-39.4972998729352,-39.597299872935196,-39.6972998729352,-39.7972998729352,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-MAX_2_NEW_TRADES_PER_DAY_SIM-00011,MAX_2_NEW_TRADES_PER_DAY_SIM,CONTRACTION_ONLY,IOVA,2024-05-07,2024-05-07,2024-05-08,2024-05-22,13.76,10.33,10,False,-24.927325581395344,-25.027325581395342,-25.127325581395343,-25.227325581395345,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-MAX_2_NEW_TRADES_PER_DAY_SIM-00012,MAX_2_NEW_TRADES_PER_DAY_SIM,CONTRACTION_ONLY,BROS,2024-05-08,2024-05-08,2024-05-09,2024-05-23,32.41,34.26,10,False,5.708114779389084,5.6081147793890835,5.508114779389084,5.408114779389084,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-MAX_2_NEW_TRADES_PER_DAY_SIM-00013,MAX_2_NEW_TRADES_PER_DAY_SIM,CONTRACTION_ONLY,CARG,2024-05-10,2024-05-10,2024-05-13,2024-05-28,24.29,23.47,10,False,-3.3758748456154786,-3.4758748456154787,-3.5758748456154787,-3.675874845615479,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-MAX_2_NEW_TRADES_PER_DAY_SIM-00014,MAX_2_NEW_TRADES_PER_DAY_SIM,CONTRACTION_ONLY,RXRX,2024-05-13,2024-05-13,2024-05-14,2024-05-29,9.73,8.58,10,False,-11.819116135662899,-11.9191161356629,-12.0191161356629,-12.1191161356629,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-MAX_2_NEW_TRADES_PER_DAY_SIM-00015,MAX_2_NEW_TRADES_PER_DAY_SIM,CONTRACTION_ONLY,AX,2024-05-14,2024-05-14,2024-05-15,2024-05-30,62.82,54.09,10,False,-13.89684813753581,-13.99684813753581,-14.096848137535812,-14.196848137535811,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-MAX_2_NEW_TRADES_PER_DAY_SIM-00016,MAX_2_NEW_TRADES_PER_DAY_SIM,CONTRACTION_ONLY,CALM,2024-05-14,2024-05-14,2024-05-15,2024-05-30,51.61,53.13,10,False,2.9451656655687053,2.845165665568705,2.745165665568705,2.6451656655687055,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
DSS-CO-001-MAX_2_NEW_TRADES_PER_DAY_SIM-00017,MAX_2_NEW_TRADES_PER_DAY_SIM,CONTRACTION_ONLY,GH,2024-05-15,2024-05-15,2024-05-16,2024-05-31,25.74,27.1,10,False,5.283605283605297,5.1836052836052975,5.083605283605297,4.983605283605296,10.0,20.0,30.0,next_open,time_stop_10_sessions_close
