quarter,trades,net_x2_sum_pct,net_x2_expectancy_pct
2024Q2,91,178.82175999406314,1.9650742856490455
2024Q3,115,-157.23874941707888,-1.3672934731919903
2024Q4,148,323.64043800992846,2.1867597162833006
2025Q1,92,-211.6289542162827,-2.3003147197422034
2025Q2,71,73.98473854519884,1.0420385710591387
2025Q3,138,23.944923469356134,0.1735139381837401
2025Q4,106,40.049793806931895,0.37782824346162164
2026Q1,82,-17.008220073057185,-0.207417317964112
2026Q2,75,81.49979992512347,1.0866639990016462
2026Q3,7,-10.240630423127328,-1.462947203303904
