symbol,name,cap_segment,note
AAON,AAON Inc,midcap,seed mid-cap lane; refresh from market-cap source before live
AEO,American Eagle Outfitters,midcap,seed mid-cap lane; refresh from market-cap source before live
ALGM,Allegro MicroSystems,midcap,seed mid-cap lane; refresh from market-cap source before live
APPF,AppFolio,midcap,seed mid-cap lane; refresh from market-cap source before live
AX,Axos Financial,midcap,seed mid-cap lane; refresh from market-cap source before live
BROS,Dutch Bros,midcap,seed mid-cap lane; refresh from market-cap source before live
CALM,Cal-Maine Foods,midcap,seed mid-cap lane; refresh from market-cap source before live
CRDO,Credo Technology Group,midcap,seed mid-cap lane; refresh from market-cap source before live
CROX,Crocs,midcap,seed mid-cap lane; refresh from market-cap source before live
CVLT,Commvault Systems,midcap,seed mid-cap lane; refresh from market-cap source before live
ENPH,Enphase Energy,midcap,seed mid-cap lane; refresh from market-cap source before live
FN,Fabrinet,midcap,seed mid-cap lane; refresh from market-cap source before live
FOUR,Shift4 Payments,midcap,seed mid-cap lane; refresh from market-cap source before live
FRPT,Freshpet,midcap,seed mid-cap lane; refresh from market-cap source before live
HIMS,Hims & Hers Health,midcap,seed mid-cap lane; refresh from market-cap source before live
INSP,Inspire Medical Systems,midcap,seed mid-cap lane; refresh from market-cap source before live
LRN,Stride,midcap,seed mid-cap lane; refresh from market-cap source before live
MNDY,monday.com,midcap,seed mid-cap lane; refresh from market-cap source before live
NXT,Nextracker,midcap,seed mid-cap lane; refresh from market-cap source before live
OLLI,Ollie's Bargain Outlet,midcap,seed mid-cap lane; refresh from market-cap source before live
SKYW,SkyWest,midcap,seed mid-cap lane; refresh from market-cap source before live
TMDX,TransMedics Group,midcap,seed mid-cap lane; refresh from market-cap source before live
WING,Wingstop,midcap,seed mid-cap lane; refresh from market-cap source before live
ZETA,Zeta Global Holdings,midcap,seed mid-cap lane; refresh from market-cap source before live
