pattern_id,ticker,trade_count,event_count,net_pnl,winrate,profit_factor,avg_trade,max_drawdown,first_seen,last_seen,notes
PATTERN_000001,AAON,0,4,0,1.000000,10.000000,2.500000,0.000000,2021-07-13T00:00:00+00:00,2021-11-17T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000001,AEO,0,1,0,0.000000,0.000000,-1.000000,1.000000,2023-11-15T00:00:00+00:00,2023-11-15T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000001,ALGM,0,1,0,1.000000,2.500000,2.500000,0.000000,2023-06-27T00:00:00+00:00,2023-06-27T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000001,CALM,0,2,0,0.500000,1.900200,0.450100,1.000000,2021-07-16T00:00:00+00:00,2023-08-01T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000001,CVLT,0,1,0,0.000000,0.000000,-1.000000,1.000000,2023-09-21T00:00:00+00:00,2023-09-21T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000001,FN,0,2,0,0.500000,2.500000,0.750000,1.000000,2022-06-15T00:00:00+00:00,2023-09-26T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000002,ACMR,0,3,0,0.000000,0.000000,-1.000000,3.000000,2021-12-14T00:00:00+00:00,2022-11-09T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000002,AEO,0,1,0,1.000000,0.738800,0.738800,0.000000,2022-06-24T00:00:00+00:00,2022-06-24T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000002,AMBA,0,2,0,0.000000,0.000000,-1.000000,2.000000,2022-07-08T00:00:00+00:00,2022-11-01T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000002,ARWR,0,1,0,0.000000,0.000000,-1.000000,1.000000,2023-04-04T00:00:00+00:00,2023-04-04T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000002,FUBO,0,1,0,1.000000,2.500000,2.500000,0.000000,2022-12-06T00:00:00+00:00,2022-12-06T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000002,HIMS,0,2,0,1.000000,5.000000,2.500000,0.000000,2022-09-12T00:00:00+00:00,2022-10-06T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000002,INSP,0,1,0,1.000000,2.500000,2.500000,0.000000,2023-08-30T00:00:00+00:00,2023-08-30T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000003,AAON,0,3,0,1.000000,7.500000,2.500000,0.000000,2022-10-19T00:00:00+00:00,2023-02-21T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000003,DLO,0,2,0,0.000000,0.000000,-1.000000,2.000000,2023-03-01T00:00:00+00:00,2024-01-23T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000003,ENPH,0,1,0,0.000000,0.000000,-1.000000,1.000000,2023-10-04T00:00:00+00:00,2023-10-04T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000003,FN,0,1,0,1.000000,2.500000,2.500000,0.000000,2023-08-17T00:00:00+00:00,2023-08-17T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000003,FOUR,0,2,0,0.000000,0.000000,-1.000000,2.000000,2024-02-13T00:00:00+00:00,2024-02-16T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000003,FRPT,0,1,0,1.000000,2.500000,2.500000,0.000000,2023-11-02T00:00:00+00:00,2023-11-02T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000003,INSP,0,1,0,1.000000,2.500000,2.500000,0.000000,2023-04-10T00:00:00+00:00,2023-04-10T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000004,AAON,0,1,0,0.000000,0.000000,-1.000000,1.000000,2022-12-01T00:00:00+00:00,2022-12-01T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000004,ACMR,0,2,0,0.000000,0.000000,-1.000000,2.000000,2021-07-02T00:00:00+00:00,2022-06-07T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000004,ARWR,0,2,0,0.000000,0.000000,-0.421800,0.843600,2022-07-26T00:00:00+00:00,2022-07-29T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
