event_id,pattern_id,detected_at,market_timestamp,timezone,ticker,exchange,timeframe,bar_open_time,bar_close_time,signal_price,bid_at_signal,ask_at_signal,spread_at_signal,volume_at_signal,atr_at_signal,volatility_context,market_regime,sector,was_trade_triggered,trade_id,reason_not_traded,duplicate_group_id,is_independent_sample,data_available_at_signal,features_used_json,notes
EVT_PATTERN_000200_EX_019407,PATTERN_000200,,2021-12-01T00:00:00+00:00,UTC,AMBA,SMART/IBKR,1d,2021-09-22T00:00:00+00:00,2021-12-01T00:00:00+00:00,204.89,,,,,19.2643,risk_proxy=19.2643; mfe_r=1.7135; mae_r=1.0372,not_persisted,not_persisted,false,,Historical representative research sample; not routed to paper execution.,DUP_PATTERN_000200_AMBA_2021-12-01T00:00:00+00:00,true,true,"{""atr_pct"": 0.062682, ""cumulative_return"": 0.246517, ""downside_vol"": 0.015837, ""last_quarter_return"": 0.048299, ""local_drawdown"": 0.152927, ""local_runup"": 0.376671, ""range_pct_mean"": 0.046377, ""slope"": 0.132128, ""upside_vol"": 0.024145, ""volume_rel_last"": 5.0, ""volume_trend"": -0.017226}",stored_example_kind=loser; outcome_r=-1.0; similarity=0.069781
EVT_PATTERN_000200_EX_019405,PATTERN_000200,,2021-09-20T00:00:00+00:00,UTC,ACMR,SMART/IBKR,1d,2021-07-12T00:00:00+00:00,2021-09-20T00:00:00+00:00,32.76,,,,,2.8221,risk_proxy=2.8221; mfe_r=0.2197; mae_r=2.4627,not_persisted,not_persisted,false,,Historical representative research sample; not routed to paper execution.,DUP_PATTERN_000200_ACMR_2021-09-20T00:00:00+00:00,true,true,"{""atr_pct"": 0.057431, ""cumulative_return"": 0.067101, ""downside_vol"": 0.020309, ""last_quarter_return"": 0.103774, ""local_drawdown"": 0.183388, ""local_runup"": 0.424412, ""range_pct_mean"": 0.059229, ""slope"": 0.111253, ""upside_vol"": 0.025368, ""volume_rel_last"": 1.091394, ""volume_trend"": -0.04302}",stored_example_kind=loser; outcome_r=-1.0; similarity=0.069326
EVT_PATTERN_000200_EX_019406,PATTERN_000200,,2021-09-07T00:00:00+00:00,UTC,AMBA,SMART/IBKR,1d,2021-06-28T00:00:00+00:00,2021-09-07T00:00:00+00:00,136.42,,,,,9.0932,risk_proxy=9.0932; mfe_r=0.3882; mae_r=3.6137,not_persisted,not_persisted,false,,Historical representative research sample; not routed to paper execution.,DUP_PATTERN_000200_AMBA_2021-09-07T00:00:00+00:00,true,true,"{""atr_pct"": 0.044437, ""cumulative_return"": 0.286132, ""downside_vol"": 0.013588, ""last_quarter_return"": 0.467513, ""local_drawdown"": 0.165782, ""local_runup"": 0.531763, ""range_pct_mean"": 0.037399, ""slope"": 0.060678, ""upside_vol"": 0.023939, ""volume_rel_last"": 4.055749, ""volume_trend"": 0.126439}",stored_example_kind=loser; outcome_r=-1.0; similarity=0.068093
EVT_PATTERN_000200_EX_019397,PATTERN_000200,,2021-09-15T00:00:00+00:00,UTC,GH,SMART/IBKR,1d,2021-07-07T00:00:00+00:00,2021-09-15T00:00:00+00:00,127.0,,,,,6.2454,risk_proxy=6.2454; mfe_r=4.0382; mae_r=0.9399,not_persisted,not_persisted,false,,Historical representative research sample; not routed to paper execution.,DUP_PATTERN_000200_GH_2021-09-15T00:00:00+00:00,true,true,"{""atr_pct"": 0.032784, ""cumulative_return"": 0.041667, ""downside_vol"": 0.016591, ""last_quarter_return"": 0.055256, ""local_drawdown"": 0.202761, ""local_runup"": 0.338159, ""range_pct_mean"": 0.040476, ""slope"": 0.038599, ""upside_vol"": 0.014898, ""volume_rel_last"": 0.590404, ""volume_trend"": 0.002195}",stored_example_kind=typical; outcome_r=2.5; similarity=0.089069
EVT_PATTERN_000200_EX_019398,PATTERN_000200,,2021-09-23T00:00:00+00:00,UTC,GH,SMART/IBKR,1d,2021-07-15T00:00:00+00:00,2021-09-23T00:00:00+00:00,129.32,,,,,6.3129,risk_proxy=6.3129; mfe_r=4.9011; mae_r=0.0,not_persisted,not_persisted,false,,Historical representative research sample; not routed to paper execution.,DUP_PATTERN_000200_GH_2021-09-23T00:00:00+00:00,true,true,"{""atr_pct"": 0.032544, ""cumulative_return"": 0.13818, ""downside_vol"": 0.015473, ""last_quarter_return"": -0.021563, ""local_drawdown"": 0.173058, ""local_runup"": 0.338159, ""range_pct_mean"": 0.038764, ""slope"": 0.093837, ""upside_vol"": 0.015206, ""volume_rel_last"": 0.740518, ""volume_trend"": -0.028428}",stored_example_kind=typical; outcome_r=2.5; similarity=0.087757
EVT_PATTERN_000200_EX_019399,PATTERN_000200,,2022-11-18T00:00:00+00:00,UTC,CRDO,SMART/IBKR,1d,2022-09-12T00:00:00+00:00,2022-11-18T00:00:00+00:00,14.44,,,,,1.1593,risk_proxy=1.1593; mfe_r=1.2766; mae_r=0.9144,not_persisted,not_persisted,false,,Historical representative research sample; not routed to paper execution.,DUP_PATTERN_000200_CRDO_2022-11-18T00:00:00+00:00,true,true,"{""atr_pct"": 0.053522, ""cumulative_return"": 0.121989, ""downside_vol"": 0.020822, ""last_quarter_return"": 0.076808, ""local_drawdown"": 0.24175, ""local_runup"": 0.554656, ""range_pct_mean"": 0.053391, ""slope"": 0.11729, ""upside_vol"": 0.020314, ""volume_rel_last"": 0.7004, ""volume_trend"": -0.132308}",stored_example_kind=typical; outcome_r=1.0524; similarity=0.087304
EVT_PATTERN_000200_EX_019400,PATTERN_000200,,2021-09-10T00:00:00+00:00,UTC,GH,SMART/IBKR,1d,2021-07-01T00:00:00+00:00,2021-09-10T00:00:00+00:00,129.09,,,,,6.5893,risk_proxy=6.5893; mfe_r=4.1097; mae_r=0.5737,not_persisted,not_persisted,false,,Historical representative research sample; not routed to paper execution.,DUP_PATTERN_000200_GH_2021-09-10T00:00:00+00:00,true,true,"{""atr_pct"": 0.034029, ""cumulative_return"": 0.017659, ""downside_vol"": 0.016592, ""last_quarter_return"": 0.135656, ""local_drawdown"": 0.221364, ""local_runup"": 0.338159, ""range_pct_mean"": 0.040244, ""slope"": 0.010633, ""upside_vol"": 0.014943, ""volume_rel_last"": 0.406287, ""volume_trend"": 0.021489}",stored_example_kind=typical; outcome_r=2.5; similarity=0.08514
EVT_PATTERN_000200_EX_019402,PATTERN_000200,,2021-09-28T00:00:00+00:00,UTC,GH,SMART/IBKR,1d,2021-07-20T00:00:00+00:00,2021-09-28T00:00:00+00:00,122.49,,,,,6.9482,risk_proxy=6.9482; mfe_r=3.47; mae_r=0.557,not_persisted,not_persisted,false,,Historical representative research sample; not routed to paper execution.,DUP_PATTERN_000200_GH_2021-09-28T00:00:00+00:00,true,true,"{""atr_pct"": 0.037816, ""cumulative_return"": 0.046476, ""downside_vol"": 0.015679, ""last_quarter_return"": -0.051127, ""local_drawdown"": 0.173058, ""local_runup"": 0.338159, ""range_pct_mean"": 0.038508, ""slope"": 0.099619, ""upside_vol"": 0.014918, ""volume_rel_last"": 1.982713, ""volume_trend"": -0.028875}",stored_example_kind=winner; outcome_r=2.5; similarity=0.07863
EVT_PATTERN_000200_EX_019401,PATTERN_000200,,2021-11-17T00:00:00+00:00,UTC,INSP,SMART/IBKR,1d,2021-09-09T00:00:00+00:00,2021-11-17T00:00:00+00:00,271.85,,,,,19.0243,risk_proxy=19.0243; mfe_r=3.6212; mae_r=0.1398,not_persisted,not_persisted,false,,Historical representative research sample; not routed to paper execution.,DUP_PATTERN_000200_INSP_2021-11-17T00:00:00+00:00,true,true,"{""atr_pct"": 0.046654, ""cumulative_return"": 0.169499, ""downside_vol"": 0.012857, ""last_quarter_return"": 0.023917, ""local_drawdown"": 0.133266, ""local_runup"": 0.250089, ""range_pct_mean"": 0.040169, ""slope"": 0.097254, ""upside_vol"": 0.012714, ""volume_rel_last"": 0.448449, ""volume_trend"": -0.022297}",stored_example_kind=winner; outcome_r=2.5; similarity=0.078506
EVT_PATTERN_000200_EX_019404,PATTERN_000200,,2021-11-05T00:00:00+00:00,UTC,FUBO,SMART/IBKR,1d,2021-08-27T00:00:00+00:00,2021-11-05T00:00:00+00:00,393.8416,,,,,32.6701,risk_proxy=32.6701; mfe_r=6.0826; mae_r=0.5436,not_persisted,not_persisted,false,,Historical representative research sample; not routed to paper execution.,DUP_PATTERN_000200_FUBO_2021-11-05T00:00:00+00:00,true,true,"{""atr_pct"": 0.055302, ""cumulative_return"": 0.213309, ""downside_vol"": 0.022424, ""last_quarter_return"": 0.109909, ""local_drawdown"": 0.236236, ""local_runup"": 0.479685, ""range_pct_mean"": 0.053852, ""slope"": 0.060838, ""upside_vol"": 0.020224, ""volume_rel_last"": 0.839198, ""volume_trend"": -0.008591}",stored_example_kind=winner; outcome_r=2.5; similarity=0.076107
