pattern_id,sample_count,independent_sample_count,trade_count,ticker_count,sector_count,first_seen,last_seen,gross_pnl,net_pnl,avg_trade,median_trade,std_trade,winrate,avg_win,avg_loss,payoff_ratio,profit_factor,expectancy,max_drawdown,max_consecutive_losses,best_trade,worst_trade,top_5_trades_pnl,bottom_5_trades_pnl,pnl_without_best_trade,pnl_without_top_5_trades,pnl_without_worst_trade,sharpe,sortino,calmar,avg_holding_period_seconds,notes
PATTERN_000200,66,66,0,14,,2021-09-07T00:00:00+00:00,2022-11-18T00:00:00+00:00,0,0,,0.59332,,0.56061,2.54285,0.89506,2.840983,3.62472,1.03226,8.0,,,,,,,,,,,,,Operational columns use paper trades when present; otherwise research R metrics remain informational only.
PATTERN_000466,41,41,0,6,,2021-09-15T00:00:00+00:00,2022-11-23T00:00:00+00:00,0,0,,0.71708,,0.60976,2.30657,0.97216,2.372624,3.70722,1.02707,5.0,,,,,,,,,,,,,Operational columns use paper trades when present; otherwise research R metrics remain informational only.
PATTERN_000410,67,67,0,6,,2021-09-10T00:00:00+00:00,2023-02-13T00:00:00+00:00,0,0,,0.68749,,0.61194,2.11134,0.91819,2.299459,3.62606,0.9357,9.37962,,,,,,,,,,,,,Operational columns use paper trades when present; otherwise research R metrics remain informational only.
PATTERN_000617,81,81,0,11,,2021-09-15T00:00:00+00:00,2022-11-18T00:00:00+00:00,0,0,,0.68749,,0.5679,2.17864,0.93923,2.319602,3.04862,0.83141,13.66997,,,,,,,,,,,,,Operational columns use paper trades when present; otherwise research R metrics remain informational only.
PATTERN_000103,31,31,0,4,,2021-09-10T00:00:00+00:00,2023-02-13T00:00:00+00:00,0,0,,-1.0,,0.45161,2.7173,0.98576,2.756553,2.2701,0.68659,6.75794,,,,,,,,,,,,,Operational columns use paper trades when present; otherwise research R metrics remain informational only.
PATTERN_000349,100,100,0,4,,2021-08-19T00:00:00+00:00,2022-02-09T00:00:00+00:00,0,0,,0.29631,,0.52,2.14864,0.96319,2.230754,2.41664,0.65496,16.0,,,,,,,,,,,,,Operational columns use paper trades when present; otherwise research R metrics remain informational only.
PATTERN_000223,80,80,0,4,,2022-08-16T00:00:00+00:00,2026-05-01T00:00:00+00:00,0,0,,-0.01775,,0.5,2.47251,0.93931,2.632262,2.63226,0.7666,5.73238,,,,,,,,,,,,,Operational columns use paper trades when present; otherwise research R metrics remain informational only.
PATTERN_000258,99,99,0,20,,2021-08-16T00:00:00+00:00,2022-02-14T00:00:00+00:00,0,0,,0.74667,,0.54545,2.23895,0.97515,2.296006,2.81783,0.78784,10.12377,,,,,,,,,,,,,Operational columns use paper trades when present; otherwise research R metrics remain informational only.
PATTERN_000237,55,55,0,10,,2021-08-20T00:00:00+00:00,2024-05-17T00:00:00+00:00,0,0,,1.12033,,0.67273,1.9058,1.0,1.9058,3.91749,0.95481,6.0,,,,,,,,,,,,,Operational columns use paper trades when present; otherwise research R metrics remain informational only.
PATTERN_000490,103,103,0,16,,2021-10-27T00:00:00+00:00,2022-05-25T00:00:00+00:00,0,0,,2.0,,0.6699,1.67509,0.91467,1.83136,3.71659,0.82022,4.89649,,,,,,,,,,,,,Operational columns use paper trades when present; otherwise research R metrics remain informational only.
PATTERN_000104,59,59,0,18,,2021-12-14T00:00:00+00:00,2022-11-07T00:00:00+00:00,0,0,,0.71667,,0.54237,2.14629,0.92724,2.314708,2.74335,0.73976,4.5,,,,,,,,,,,,,Operational columns use paper trades when present; otherwise research R metrics remain informational only.
PATTERN_000238,48,48,0,8,,2021-09-10T00:00:00+00:00,2025-02-14T00:00:00+00:00,0,0,,1.5,,0.72917,1.28196,0.90625,1.414577,3.80847,0.68932,2.0,,,,,,,,,,,,,Operational columns use paper trades when present; otherwise research R metrics remain informational only.
PATTERN_000432,52,52,0,1,,2022-04-28T00:00:00+00:00,2024-05-17T00:00:00+00:00,0,0,,0.4139,,0.59615,1.62554,0.93938,1.730439,2.68218,0.60777,4.76266,,,,,,,,,,,,,Operational columns use paper trades when present; otherwise research R metrics remain informational only.
PATTERN_000105,63,63,0,15,,2021-08-16T00:00:00+00:00,2022-02-14T00:00:00+00:00,0,0,,0.70971,,0.60317,1.99565,0.93889,2.125542,3.23082,0.83115,8.47113,,,,,,,,,,,,,Operational columns use paper trades when present; otherwise research R metrics remain informational only.
PATTERN_000298,76,76,0,3,,2021-08-16T00:00:00+00:00,2022-02-17T00:00:00+00:00,0,0,,0.77938,,0.61842,2.04793,0.92854,2.205538,3.57449,0.91217,7.0,,,,,,,,,,,,,Operational columns use paper trades when present; otherwise research R metrics remain informational only.
PATTERN_000319,79,79,0,1,,2021-07-02T00:00:00+00:00,2026-02-26T00:00:00+00:00,0,0,,1.5,,0.67089,1.39215,1.0,1.39215,2.83784,0.60486,4.5,,,,,,,,,,,,,Operational columns use paper trades when present; otherwise research R metrics remain informational only.
PATTERN_000068,101,101,0,3,,2021-08-19T00:00:00+00:00,2023-05-23T00:00:00+00:00,0,0,,-0.21859,,0.47525,2.23948,0.91283,2.453337,2.22188,0.5853,13.82797,,,,,,,,,,,,,Operational columns use paper trades when present; otherwise research R metrics remain informational only.
PATTERN_000069,34,34,0,1,,2022-04-26T00:00:00+00:00,2023-05-15T00:00:00+00:00,0,0,,-0.96824,,0.47059,2.7743,0.99647,2.784128,2.47478,0.77801,8.0,,,,,,,,,,,,,Operational columns use paper trades when present; otherwise research R metrics remain informational only.
PATTERN_000618,60,60,0,17,,2021-08-27T00:00:00+00:00,2022-02-14T00:00:00+00:00,0,0,,0.43898,,0.51667,2.20529,0.92296,2.389367,2.55416,0.6933,5.0,,,,,,,,,,,,,Operational columns use paper trades when present; otherwise research R metrics remain informational only.
