pattern_id,entry_variant_id,analysis_available,empty_reason,trade_count,event_count,gross_pnl,net_pnl,avg_trade,expectancy_r,winrate,profit_factor,max_drawdown,best_trade,worst_trade,first_seen,last_seen,notes
PATTERN_000282,gap_open_follow_through,true,,1,1,0.0,0.0,0.0,0.0,0.0,,0.000000,0.0,0.0,2026-06-09T18:36:46.403792+00:00,2026-06-09T18:36:46.403792+00:00,Closed paper-trade performance grouped by entry variant metadata.
PATTERN_000494,next_bar_stop_confirmation,true,,1,1,0.0,0.0,0.0,0.0,0.0,,0.000000,0.0,0.0,2026-06-09T19:35:54.996648+00:00,2026-06-09T19:35:54.996648+00:00,Closed paper-trade performance grouped by entry variant metadata.
PATTERN_000001,,false,no_closed_lab_trades: missing closed_lab_trades with signal.metadata_json.entry_variant_id; paper_trades.csv has no matching closed trades.,0,0,0,0,,,,,,,,,,Explicit empty bucket for Director audit contract.
PATTERN_000002,,false,no_closed_lab_trades: missing closed_lab_trades with signal.metadata_json.entry_variant_id; paper_trades.csv has no matching closed trades.,0,0,0,0,,,,,,,,,,Explicit empty bucket for Director audit contract.
PATTERN_000003,,false,no_closed_lab_trades: missing closed_lab_trades with signal.metadata_json.entry_variant_id; paper_trades.csv has no matching closed trades.,0,0,0,0,,,,,,,,,,Explicit empty bucket for Director audit contract.
PATTERN_000004,,false,no_closed_lab_trades: missing closed_lab_trades with signal.metadata_json.entry_variant_id; paper_trades.csv has no matching closed trades.,0,0,0,0,,,,,,,,,,Explicit empty bucket for Director audit contract.
PATTERN_000005,,false,no_closed_lab_trades: missing closed_lab_trades with signal.metadata_json.entry_variant_id; paper_trades.csv has no matching closed trades.,0,0,0,0,,,,,,,,,,Explicit empty bucket for Director audit contract.
PATTERN_000006,,false,no_closed_lab_trades: missing closed_lab_trades with signal.metadata_json.entry_variant_id; paper_trades.csv has no matching closed trades.,0,0,0,0,,,,,,,,,,Explicit empty bucket for Director audit contract.
PATTERN_000007,,false,no_closed_lab_trades: missing closed_lab_trades with signal.metadata_json.entry_variant_id; paper_trades.csv has no matching closed trades.,0,0,0,0,,,,,,,,,,Explicit empty bucket for Director audit contract.
PATTERN_000010,,false,no_closed_lab_trades: missing closed_lab_trades with signal.metadata_json.entry_variant_id; paper_trades.csv has no matching closed trades.,0,0,0,0,,,,,,,,,,Explicit empty bucket for Director audit contract.
PATTERN_000013,,false,no_closed_lab_trades: missing closed_lab_trades with signal.metadata_json.entry_variant_id; paper_trades.csv has no matching closed trades.,0,0,0,0,,,,,,,,,,Explicit empty bucket for Director audit contract.
PATTERN_000014,,false,no_closed_lab_trades: missing closed_lab_trades with signal.metadata_json.entry_variant_id; paper_trades.csv has no matching closed trades.,0,0,0,0,,,,,,,,,,Explicit empty bucket for Director audit contract.
PATTERN_000015,,false,no_closed_lab_trades: missing closed_lab_trades with signal.metadata_json.entry_variant_id; paper_trades.csv has no matching closed trades.,0,0,0,0,,,,,,,,,,Explicit empty bucket for Director audit contract.
PATTERN_000016,,false,no_closed_lab_trades: missing closed_lab_trades with signal.metadata_json.entry_variant_id; paper_trades.csv has no matching closed trades.,0,0,0,0,,,,,,,,,,Explicit empty bucket for Director audit contract.
PATTERN_000017,,false,no_closed_lab_trades: missing closed_lab_trades with signal.metadata_json.entry_variant_id; paper_trades.csv has no matching closed trades.,0,0,0,0,,,,,,,,,,Explicit empty bucket for Director audit contract.
PATTERN_000018,,false,no_closed_lab_trades: missing closed_lab_trades with signal.metadata_json.entry_variant_id; paper_trades.csv has no matching closed trades.,0,0,0,0,,,,,,,,,,Explicit empty bucket for Director audit contract.
PATTERN_000019,,false,no_closed_lab_trades: missing closed_lab_trades with signal.metadata_json.entry_variant_id; paper_trades.csv has no matching closed trades.,0,0,0,0,,,,,,,,,,Explicit empty bucket for Director audit contract.
PATTERN_000020,,false,no_closed_lab_trades: missing closed_lab_trades with signal.metadata_json.entry_variant_id; paper_trades.csv has no matching closed trades.,0,0,0,0,,,,,,,,,,Explicit empty bucket for Director audit contract.
PATTERN_000021,,false,no_closed_lab_trades: missing closed_lab_trades with signal.metadata_json.entry_variant_id; paper_trades.csv has no matching closed trades.,0,0,0,0,,,,,,,,,,Explicit empty bucket for Director audit contract.
PATTERN_000022,,false,no_closed_lab_trades: missing closed_lab_trades with signal.metadata_json.entry_variant_id; paper_trades.csv has no matching closed trades.,0,0,0,0,,,,,,,,,,Explicit empty bucket for Director audit contract.
PATTERN_000023,,false,no_closed_lab_trades: missing closed_lab_trades with signal.metadata_json.entry_variant_id; paper_trades.csv has no matching closed trades.,0,0,0,0,,,,,,,,,,Explicit empty bucket for Director audit contract.
PATTERN_000024,,false,no_closed_lab_trades: missing closed_lab_trades with signal.metadata_json.entry_variant_id; paper_trades.csv has no matching closed trades.,0,0,0,0,,,,,,,,,,Explicit empty bucket for Director audit contract.
PATTERN_000025,,false,no_closed_lab_trades: missing closed_lab_trades with signal.metadata_json.entry_variant_id; paper_trades.csv has no matching closed trades.,0,0,0,0,,,,,,,,,,Explicit empty bucket for Director audit contract.
PATTERN_000027,,false,no_closed_lab_trades: missing closed_lab_trades with signal.metadata_json.entry_variant_id; paper_trades.csv has no matching closed trades.,0,0,0,0,,,,,,,,,,Explicit empty bucket for Director audit contract.
PATTERN_000028,,false,no_closed_lab_trades: missing closed_lab_trades with signal.metadata_json.entry_variant_id; paper_trades.csv has no matching closed trades.,0,0,0,0,,,,,,,,,,Explicit empty bucket for Director audit contract.
PATTERN_000029,,false,no_closed_lab_trades: missing closed_lab_trades with signal.metadata_json.entry_variant_id; paper_trades.csv has no matching closed trades.,0,0,0,0,,,,,,,,,,Explicit empty bucket for Director audit contract.
