experiment_id,pattern_id,variant_id,created_at,tested_at,status,reason_status,parameters_json,dataset_start,dataset_end,in_sample_start,in_sample_end,out_of_sample_start,out_of_sample_end,paper_live_start,paper_live_end,number_of_assets_tested,number_of_events,number_of_trades,gross_pnl,net_pnl,winrate,profit_factor,sharpe,sortino,max_drawdown,candidate_trial_count,global_trial_count,adjusted_p_value,wrc_p_value,spa_p_value,fit_scope,score_input_scope,event_ledger_hash,nested_discovery_replay_status,nested_discovery_replay_implemented,nested_discovery_replay_passed,edge_claim,drift_status,active_blockers,registry_path,registry_hash,registry_previous_hash,registry_run_manifest_hash,registry_hash_chain_valid,notes
EXP_PATTERN_000200_RR_1_5,PATTERN_000200,RR_1_5,2026-06-07T12:41:41.198058+00:00,2026-06-07T12:41:41.198058+00:00,discarded,muestras insuficientes: 66 < 100,"{""cluster_id"": 10, ""rr"": 1.5, ""run_params"": {}, ""side"": ""short"", ""window_size"": 50}",2021-09-07T00:00:00+00:00,2022-11-18T00:00:00+00:00,2021-09-07T00:00:00+00:00,,,2022-11-18T00:00:00+00:00,,,14,66,0,,,0.57576,2.0469,,,8.0,,,,,,{},{},,,,,NO_DEMOSTRADO,stable,,,,,,,Research variant metrics are in R units; no paper trade PnL exists yet.
EXP_PATTERN_000200_RR_2,PATTERN_000200,RR_2,2026-06-07T12:41:41.198058+00:00,2026-06-07T12:41:41.198058+00:00,discarded,muestras insuficientes: 66 < 100,"{""cluster_id"": 10, ""rr"": 2.0, ""run_params"": {}, ""side"": ""short"", ""window_size"": 50}",2021-09-07T00:00:00+00:00,2022-11-18T00:00:00+00:00,2021-09-07T00:00:00+00:00,,,2022-11-18T00:00:00+00:00,,,14,66,0,,,0.57576,2.41095,,,8.0,,,,,,{},{},,,,,NO_DEMOSTRADO,stable,,,,,,,Research variant metrics are in R units; no paper trade PnL exists yet.
EXP_PATTERN_000200_RR_2_5,PATTERN_000200,RR_2_5,2026-06-07T12:41:41.198058+00:00,2026-06-07T12:41:41.198058+00:00,discarded,muestras insuficientes: 66 < 100,"{""cluster_id"": 10, ""rr"": 2.5, ""run_params"": {}, ""side"": ""short"", ""window_size"": 50}",2021-09-07T00:00:00+00:00,2022-11-18T00:00:00+00:00,2021-09-07T00:00:00+00:00,,,2022-11-18T00:00:00+00:00,,,14,66,0,,,0.56061,2.63684,,,8.0,,,,,,{},{},,,,,NO_DEMOSTRADO,stable,,,,,,,Research variant metrics are in R units; no paper trade PnL exists yet.
EXP_PATTERN_000200_RR_3,PATTERN_000200,RR_3,2026-06-07T12:41:41.198058+00:00,2026-06-07T12:41:41.198058+00:00,discarded,muestras insuficientes: 66 < 100,"{""cluster_id"": 10, ""rr"": 3.0, ""run_params"": {}, ""side"": ""short"", ""window_size"": 50}",2021-09-07T00:00:00+00:00,2022-11-18T00:00:00+00:00,2021-09-07T00:00:00+00:00,,,2022-11-18T00:00:00+00:00,,,14,66,0,,,0.56061,2.95158,,,8.0,,,,,,{},{},,,,,NO_DEMOSTRADO,stable,,,,,,,Research variant metrics are in R units; no paper trade PnL exists yet.
EXP_PATTERN_000200_RR_4,PATTERN_000200,RR_4,2026-06-07T12:41:41.198058+00:00,2026-06-07T12:41:41.198058+00:00,discarded,muestras insuficientes: 66 < 100,"{""cluster_id"": 10, ""rr"": 4.0, ""run_params"": {}, ""side"": ""short"", ""window_size"": 50}",2021-09-07T00:00:00+00:00,2022-11-18T00:00:00+00:00,2021-09-07T00:00:00+00:00,,,2022-11-18T00:00:00+00:00,,,14,66,0,,,0.56061,3.39764,,,8.0,,,,,,{},{},,,,,NO_DEMOSTRADO,stable,,,,,,,Research variant metrics are in R units; no paper trade PnL exists yet.
EXP_PATTERN_000200_RR_5,PATTERN_000200,RR_5,2026-06-07T12:41:41.198058+00:00,2026-06-07T12:41:41.198058+00:00,discarded,muestras insuficientes: 66 < 100,"{""cluster_id"": 10, ""rr"": 5.0, ""run_params"": {}, ""side"": ""short"", ""window_size"": 50}",2021-09-07T00:00:00+00:00,2022-11-18T00:00:00+00:00,2021-09-07T00:00:00+00:00,,,2022-11-18T00:00:00+00:00,,,14,66,0,,,0.56061,3.62472,,,8.0,,,,,,{},{},,,,,NO_DEMOSTRADO,stable,,,,,,,Research variant metrics are in R units; no paper trade PnL exists yet.
EXP_PATTERN_000466_RR_1_5,PATTERN_000466,RR_1_5,2026-06-08T15:51:29.686821+00:00,2026-06-08T15:51:29.686821+00:00,discarded,"muestras insuficientes: 41 < 100; poca diversidad de símbolos: 6 < 8; premium/paper promotion bloqueada en discovery: requiere Director gate con trades, fills, costes y OOS limpio","{""cluster_id"": 0, ""rr"": 1.5, ""run_params"": {}, ""side"": ""short"", ""window_size"": 50}",2021-09-15T00:00:00+00:00,2022-11-23T00:00:00+00:00,2021-09-15T00:00:00+00:00,,,2022-11-23T00:00:00+00:00,,,6,41,0,,,0.60976,2.22347,,,5.0,,,,,,{},{},,,,,NO_DEMOSTRADO,stable,,,,,,,Research variant metrics are in R units; no paper trade PnL exists yet.
EXP_PATTERN_000466_RR_2,PATTERN_000466,RR_2,2026-06-08T15:51:29.686821+00:00,2026-06-08T15:51:29.686821+00:00,discarded,"muestras insuficientes: 41 < 100; poca diversidad de símbolos: 6 < 8; premium/paper promotion bloqueada en discovery: requiere Director gate con trades, fills, costes y OOS limpio","{""cluster_id"": 0, ""rr"": 2.0, ""run_params"": {}, ""side"": ""short"", ""window_size"": 50}",2021-09-15T00:00:00+00:00,2022-11-23T00:00:00+00:00,2021-09-15T00:00:00+00:00,,,2022-11-23T00:00:00+00:00,,,6,41,0,,,0.60976,2.52383,,,5.0,,,,,,{},{},,,,,NO_DEMOSTRADO,stable,,,,,,,Research variant metrics are in R units; no paper trade PnL exists yet.
EXP_PATTERN_000466_RR_2_5,PATTERN_000466,RR_2_5,2026-06-08T15:51:29.686821+00:00,2026-06-08T15:51:29.686821+00:00,discarded,"muestras insuficientes: 41 < 100; poca diversidad de símbolos: 6 < 8; premium/paper promotion bloqueada en discovery: requiere Director gate con trades, fills, costes y OOS limpio","{""cluster_id"": 0, ""rr"": 2.5, ""run_params"": {}, ""side"": ""short"", ""window_size"": 50}",2021-09-15T00:00:00+00:00,2022-11-23T00:00:00+00:00,2021-09-15T00:00:00+00:00,,,2022-11-23T00:00:00+00:00,,,6,41,0,,,0.60976,2.77955,,,5.0,,,,,,{},{},,,,,NO_DEMOSTRADO,stable,,,,,,,Research variant metrics are in R units; no paper trade PnL exists yet.
EXP_PATTERN_000466_RR_3,PATTERN_000466,RR_3,2026-06-08T15:51:29.686821+00:00,2026-06-08T15:51:29.686821+00:00,discarded,"muestras insuficientes: 41 < 100; poca diversidad de símbolos: 6 < 8; premium/paper promotion bloqueada en discovery: requiere Director gate con trades, fills, costes y OOS limpio","{""cluster_id"": 0, ""rr"": 3.0, ""run_params"": {}, ""side"": ""short"", ""window_size"": 50}",2021-09-15T00:00:00+00:00,2022-11-23T00:00:00+00:00,2021-09-15T00:00:00+00:00,,,2022-11-23T00:00:00+00:00,,,6,41,0,,,0.60976,2.80716,,,5.0,,,,,,{},{},,,,,NO_DEMOSTRADO,stable,,,,,,,Research variant metrics are in R units; no paper trade PnL exists yet.
