symbol,events,ready_events
AAON,752,393
AAPL,752,288
ABBV,752,190
ABNB,752,370
ACMR,752,555
ADBE,752,357
ADI,752,442
ADP,752,199
AEO,752,453
ALGM,752,526
AMAT,752,505
AMBA,752,532
AMD,752,517
AMGN,752,274
AMZN,752,383
APD,752,250
APH,752,394
APP,752,512
APPF,752,362
ARWR,752,451
AVGO,752,486
AX,752,419
AXP,752,302
BA,752,339
BAC,752,307
BKNG,752,311
BLK,752,303
BROS,752,416
BSX,752,219
C,752,354
CALM,752,231
CARG,752,361
CAT,752,376
CAVA,752,473
CDNS,752,409
CME,752,175
CMG,752,293
COIN,752,589
COP,752,372
COST,752,184
CRDO,752,559
CRM,752,387
CROX,752,415
CRWD,752,426
CSX,752,219
CVLT,752,350
CVX,752,302
DDOG,752,466
DE,752,275
DECK,752,375
DHR,752,295
DLO,752,402
DUK,752,189
EMR,752,328
ENPH,752,517
EOG,752,375
ETN,752,391
FDX,752,285
FIVN,752,455
FN,752,499
FOUR,752,448
FRPT,752,319
FUBO,752,539
GE,752,289
GH,752,469
GILD,752,232
GOOG,752,372
GOOGL,752,380
GS,752,327
HD,752,297
HIMS,752,541
HON,752,244
HOOD,752,553
INSP,752,405
INTC,752,489
IOVA,752,489
ISRG,752,309
JNJ,752,149
JPM,752,248
KLAC,752,503
KO,752,140
LIN,752,208
LLY,752,330
LMT,752,187
LOW,752,279
LRCX,752,515
LRN,752,276
LULU,752,360
MA,752,227
MCD,752,154
MDT,752,190
MELI,752,394
META,752,404
MNDY,752,473
MRK,752,205
MRVL,752,548
MS,752,347
MSFT,752,320
MU,752,554
NEE,752,289
NFLX,752,316
NKE,752,340
NOW,752,419
NVDA,752,511
NXT,752,495
OLLI,752,320
ORCL,752,413
PANW,752,392
PATH,752,488
PDD,752,501
PEP,752,203
PFE,752,170
PG,752,148
PLTR,752,516
PRVA,752,356
PYPL,752,384
QCOM,752,442
QQQ,752,0
REGN,752,276
RTX,752,225
RXRX,752,565
SBUX,752,225
SCHW,752,300
SEDG,752,580
SG,752,530
SHOP,752,482
SHW,752,281
SKYW,752,397
SLB,752,391
SNOW,752,474
SNPS,752,429
SO,752,189
SOUN,752,587
SPY,752,0
TGT,752,301
TMDX,752,443
TMO,752,288
TSLA,752,534
TTD,752,437
TXN,752,408
UBER,752,400
UNH,752,263
UNP,752,210
UPS,752,268
UPST,752,557
V,752,189
VRTX,752,255
WFC,752,297
WING,752,377
WMT,752,158
XOM,752,318
ZETA,752,510
