observation_type,test_id,family,baseline_group,events_OOS,expectancy_net_x3,candidate_approval
OBSERVATION_ONLY_NO_CANDIDATE_APPROVAL,GAP003_REVERSAL-SAME-DAY_ABS_3_0_BOTH_ALL,GAP_REVERSAL_SAME_DAY,CANDIDATE_PRE_REGISTERED,3495,0.00132996,False
OBSERVATION_ONLY_NO_CANDIDATE_APPROVAL,GAP003_REVERSAL-SAME-DAY_DESIGN_SPY_LTE_0,GAP_REVERSAL_SAME_DAY,DESIGN_LOCKED_FILTER_OR_POLICY,7362,0.00081005,False
OBSERVATION_ONLY_NO_CANDIDATE_APPROVAL,GAP003_CONTINUATION-SAME-DAY_DESIGN_VOLUME_T_MINUS_1,GAP_CONTINUATION_SAME_DAY,DESIGN_LOCKED_FILTER_OR_POLICY,0,0.0,False
OBSERVATION_ONLY_NO_CANDIDATE_APPROVAL,GAP003_REVERSAL-SAME-DAY_DESIGN_VOLUME_T_MINUS_1,GAP_REVERSAL_SAME_DAY,DESIGN_LOCKED_FILTER_OR_POLICY,0,0.0,False
OBSERVATION_ONLY_NO_CANDIDATE_APPROVAL,GAP003_CONTINUATION-NEXT-DAY_DESIGN_VOLUME_T_MINUS_1,GAP_CONTINUATION_NEXT_DAY,DESIGN_LOCKED_FILTER_OR_POLICY,0,0.0,False
OBSERVATION_ONLY_NO_CANDIDATE_APPROVAL,GAP003_REVERSAL-NEXT-DAY_DESIGN_VOLUME_T_MINUS_1,GAP_REVERSAL_NEXT_DAY,DESIGN_LOCKED_FILTER_OR_POLICY,0,0.0,False
OBSERVATION_ONLY_NO_CANDIDATE_APPROVAL,GAP003_REVERSAL-SAME-DAY_ABS_2_0_BOTH_ALL,GAP_REVERSAL_SAME_DAY,CANDIDATE_PRE_REGISTERED,6968,-0.00039596,False
OBSERVATION_ONLY_NO_CANDIDATE_APPROVAL,GAP003_CONTINUATION-NEXT-DAY_ABS_3_0_BOTH_ALL,GAP_CONTINUATION_NEXT_DAY,CANDIDATE_PRE_REGISTERED,3495,-0.00059963,False
OBSERVATION_ONLY_NO_CANDIDATE_APPROVAL,GAP003_REVERSAL-SAME-DAY_ATR_0_5_BOTH_ALL,GAP_REVERSAL_SAME_DAY,CANDIDATE_PRE_REGISTERED,7268,-0.00106643,False
OBSERVATION_ONLY_NO_CANDIDATE_APPROVAL,GAP003_REVERSAL-SAME-DAY_ATR_1_0_BOTH_ALL,GAP_REVERSAL_SAME_DAY,CANDIDATE_PRE_REGISTERED,1697,-0.00108463,False
