test_id,bootstrap_symbol_p05,bootstrap_symbol_p50,bootstrap_symbol_p95,bootstrap_symbol_month_p05,bootstrap_symbol_month_p50,bootstrap_symbol_month_p95,pf_bootstrap_symbol_p05
GAP006_OBS1_REFERENCE_ALL,0.00220406,0.00362988,0.00494655,0.00214192,0.00369377,0.0046328,1.145154
GAP006_OBS1_ONE_ACTIVE,0.00220406,0.00362988,0.00494655,0.00214192,0.00369377,0.0046328,1.145154
GAP006_OBS1_MAX2,-0.00405986,-0.00191553,0.00103346,-0.00490074,-0.00223314,0.00052086,0.771481
GAP006_OBS2_REFERENCE_ALL,0.00116978,0.00172787,0.00225273,0.00099674,0.00178484,0.00236917,1.098752
GAP006_OBS2_ONE_ACTIVE,0.00116978,0.00172787,0.00225273,0.00099674,0.00178484,0.00236917,1.098752
GAP006_OBS2_MAX2,-0.00660776,-0.00229909,0.00168962,-0.00588851,-0.00200048,0.00128559,0.610244
GAP006_BASELINE_MATCHED_NON_GAP_PAIR,-0.00236036,-0.00175282,-0.00113269,-0.00238508,-0.00183685,-0.00120971,0.714396
GAP006_BASELINE_RANDOM_MATCHED_PAIR,-0.00295885,0.00047405,0.00440155,-0.00215531,0.00063502,0.00354295,0.74888
GAP006_PLACEBO_SIGN_INVERTED_PAIR,-0.00625273,-0.00572122,-0.00516978,-0.00636917,-0.00577865,-0.00499674,0.604752
GAP006_PLACEBO_DELAYED_ENTRY_PAIR,-0.00922035,-0.00418439,-0.00100958,-0.00760535,-0.00443236,-0.00043368,0.402985
GAP006_PLACEBO_THRESHOLD_PERTURBATION_PAIR,0.00116978,0.00172787,0.00225273,0.00099674,0.00178484,0.00236917,1.098752
GAP006_EARNINGS_SENSITIVITY_PAIR,-0.0076531,-0.00236629,0.00453823,-0.0061852,-0.00106511,0.00377091,0.638646
